hour,minute_start,count,jam_sum
21,10,2,0.198589
21,15,2,0.205669
21,20,2,0.204036
21,25,2,0.181342
21,30,2,0.221424
21,35,2,0.217646
21,40,2,0.217687
21,45,2,0.184591
21,50,2,0.180867
21,55,2,0.191345
22,0,2,0.169484
22,5,2,0.206835
22,10,2,0.148579
22,15,2,0.15596
22,20,2,0.129324
22,25,2,0.11261
22,30,2,0.11651
22,35,2,0.115772
22,40,2,0.10434
22,45,2,0.098442
22,50,2,0.081878
22,55,2,0.070227
23,0,2,0.078521
23,5,2,0.08637
23,10,2,0.070423
23,15,2,0.070802
23,20,2,0.077339
23,25,2,0.061238
23,30,2,0.077284
23,35,2,0.062106
23,40,2,0.051753
23,45,2,0.059387
23,50,2,0.067687
23,55,2,0.059199
