timestamp,frame_id,cctv_name,vehicle_id,speed,lane,raw_lane,dwell_time,bbox
2026-04-22 11:15:31,5243,[수원광명선] 광명 구봉산터널,513,5.8,1,1,0.0,"[509, 117, 556, 165]"
2026-04-22 11:15:35,5280,[수원광명선] 광명 구봉산터널,526,11.45,1,1,1.7,"[354, 220, 489, 325]"
2026-04-22 11:15:35,5280,[수원광명선] 광명 구봉산터널,511,1.38,0,0,1.45,"[462, 130, 506, 170]"
2026-04-22 11:15:35,5280,[수원광명선] 광명 구봉산터널,521,5.69,0,0,0.09,"[336, 182, 428, 251]"
2026-04-22 11:15:38,5316,[수원광명선] 광명 구봉산터널,536,2.8,0,0,0.55,"[294, 208, 388, 282]"
2026-04-22 11:15:38,5316,[수원광명선] 광명 구봉산터널,537,2.98,0,0,0.55,"[469, 129, 508, 165]"
2026-04-22 11:15:38,5316,[수원광명선] 광명 구봉산터널,521,1.52,1,1,0.62,"[514, 108, 559, 163]"
2026-04-22 11:15:41,5360,[수원광명선] 광명 구봉산터널,536,3.91,0,0,4.08,"[444, 146, 486, 182]"
2026-04-22 11:15:44,5398,[수원광명선] 광명 구봉산터널,536,4.68,0,0,0.8,"[485, 125, 517, 154]"
2026-04-22 11:15:47,5435,[수원광명선] 광명 구봉산터널,540,4.05,0,0,2.24,"[449, 139, 492, 179]"
2026-04-22 11:15:53,5511,[수원광명선] 광명 구봉산터널,546,2.39,1,1,1.77,"[490, 102, 547, 189]"
2026-04-22 11:15:53,5511,[수원광명선] 광명 구봉산터널,548,0.0,1,1,1.62,"[1, 130, 475, 449]"
2026-04-22 11:15:53,5511,[수원광명선] 광명 구봉산터널,550,0.0,1,1,0.08,"[0, 2, 470, 456]"
2026-04-22 11:15:57,5548,[수원광명선] 광명 구봉산터널,546,2.07,1,1,5.02,"[504, 88, 560, 164]"
2026-04-22 11:15:57,5548,[수원광명선] 광명 구봉산터널,553,6.05,1,1,0.7,"[382, 114, 527, 276]"
2026-04-22 11:16:00,5580,[수원광명선] 광명 구봉산터널,553,5.09,1,1,3.75,"[452, 138, 514, 228]"
2026-04-22 11:16:00,5580,[수원광명선] 광명 구봉산터널,554,0.0,0,0,0.07,"[391, 167, 449, 213]"
2026-04-22 11:16:03,5613,[수원광명선] 광명 구봉산터널,553,4.33,1,1,6.75,"[496, 122, 538, 185]"
2026-04-22 11:16:03,5613,[수원광명선] 광명 구봉산터널,559,0.0,0,0,1.58,"[43, 203, 378, 444]"
2026-04-22 11:16:03,5613,[수원광명선] 광명 구봉산터널,557,0.43,1,1,0.99,"[543, 92, 576, 143]"
2026-04-22 11:16:03,5613,[수원광명선] 광명 구봉산터널,554,4.12,0,0,0.38,"[459, 136, 503, 172]"
2026-04-22 11:16:06,5651,[수원광명선] 광명 구봉산터널,553,1.61,1,1,9.99,"[518, 110, 552, 161]"
2026-04-22 11:16:06,5651,[수원광명선] 광명 구봉산터널,568,6.17,1,1,1.06,"[430, 169, 501, 255]"
2026-04-22 11:16:06,5651,[수원광명선] 광명 구봉산터널,557,3.39,1,1,0.33,"[549, 93, 578, 136]"
2026-04-22 11:16:09,5695,[수원광명선] 광명 구봉산터널,585,4.14,1,1,2.11,"[479, 165, 527, 210]"
2026-04-22 11:16:09,5695,[수원광명선] 광명 구봉산터널,553,3.21,1,1,2.11,"[526, 100, 563, 152]"
2026-04-22 11:16:09,5695,[수원광명선] 광명 구봉산터널,588,0.0,1,1,0.08,"[104, 363, 378, 475]"
2026-04-22 11:16:13,5732,[수원광명선] 광명 구봉산터널,585,1.59,1,1,5.17,"[510, 135, 547, 175]"
2026-04-22 11:16:13,5732,[수원광명선] 광명 구봉산터널,553,2.98,1,1,5.17,"[539, 98, 570, 139]"
2026-04-22 11:16:13,5732,[수원광명선] 광명 구봉산터널,588,7.99,1,1,3.15,"[418, 202, 503, 272]"
2026-04-22 11:16:13,5732,[수원광명선] 광명 구봉산터널,591,11.85,0,0,1.06,"[259, 143, 407, 284]"
2026-04-22 11:16:13,5732,[수원광명선] 광명 구봉산터널,598,0.0,0,0,0.76,"[81, 292, 262, 404]"
2026-04-22 11:16:16,5771,[수원광명선] 광명 구봉산터널,601,5.36,1,1,0.94,"[465, 105, 541, 223]"
2026-04-22 11:16:16,5771,[수원광명선] 광명 구봉산터널,602,0.0,0,0,0.94,"[32, 210, 387, 423]"
2026-04-22 11:16:19,5809,[수원광명선] 광명 구봉산터널,601,4.41,1,1,4.05,"[502, 98, 554, 179]"
2026-04-22 11:16:19,5809,[수원광명선] 광명 구봉산터널,606,5.41,1,1,2.67,"[424, 149, 499, 249]"
2026-04-22 11:16:22,5846,[수원광명선] 광명 구봉산터널,601,1.4,1,1,7.03,"[519, 93, 562, 162]"
2026-04-22 11:16:22,5846,[수원광명선] 광명 구봉산터널,606,3.17,1,1,5.65,"[483, 130, 529, 197]"
2026-04-22 11:16:22,5846,[수원광명선] 광명 구봉산터널,611,8.06,0,0,2.81,"[333, 199, 401, 257]"
2026-04-22 11:16:25,5885,[수원광명선] 광명 구봉산터널,612,4.66,0,0,3.12,"[385, 163, 451, 219]"
2026-04-22 11:16:25,5885,[수원광명선] 광명 구봉산터널,613,1.32,0,0,3.12,"[469, 133, 508, 167]"
2026-04-22 11:16:25,5885,[수원광명선] 광명 구봉산터널,627,0.0,0,0,0.73,"[49, 294, 245, 427]"
2026-04-22 11:16:28,5897,[수원광명선] 광명 구봉산터널,612,3.7,0,0,4.26,"[412, 153, 467, 203]"
2026-04-22 11:16:28,5897,[수원광명선] 광명 구봉산터널,613,2.71,0,0,4.26,"[479, 127, 514, 158]"
2026-04-22 11:16:28,5897,[수원광명선] 광명 구봉산터널,627,13.25,0,0,1.87,"[207, 243, 337, 332]"
2026-04-22 11:16:32,27,[수도권제2순환선(봉담동탄)] 필봉산터널(동탄),1,2.94,,,1.63,"[189, 173, 356, 279]"
2026-04-22 11:16:32,27,[수도권제2순환선(봉담동탄)] 필봉산터널(동탄),2,2.22,,,1.63,"[379, 125, 468, 180]"
2026-04-22 11:16:32,27,[수도권제2순환선(봉담동탄)] 필봉산터널(동탄),3,5.06,,,1.63,"[346, 171, 505, 301]"
2026-04-22 11:16:32,27,[수도권제2순환선(봉담동탄)] 필봉산터널(동탄),4,3.91,,,1.63,"[508, 140, 582, 209]"
2026-04-22 11:16:32,27,[수도권제2순환선(봉담동탄)] 필봉산터널(동탄),5,3.83,,,1.63,"[530, 67, 601, 162]"
2026-04-22 11:16:32,27,[수도권제2순환선(봉담동탄)] 필봉산터널(동탄),6,1.21,,,1.63,"[595, 40, 650, 115]"
2026-04-22 11:16:35,72,[수도권제2순환선(봉담동탄)] 필봉산터널(동탄),1,2.38,,,4.66,"[262, 156, 400, 244]"
2026-04-22 11:16:35,72,[수도권제2순환선(봉담동탄)] 필봉산터널(동탄),2,1.01,,,4.66,"[413, 116, 490, 162]"
2026-04-22 11:16:35,72,[수도권제2순환선(봉담동탄)] 필봉산터널(동탄),3,1.83,,,4.66,"[413, 150, 532, 256]"
2026-04-22 11:16:35,72,[수도권제2순환선(봉담동탄)] 필봉산터널(동탄),4,0.57,,,4.66,"[532, 128, 594, 188]"
2026-04-22 11:16:35,72,[수도권제2순환선(봉담동탄)] 필봉산터널(동탄),5,1.84,,,4.66,"[542, 72, 602, 141]"
2026-04-22 11:16:35,72,[수도권제2순환선(봉담동탄)] 필봉산터널(동탄),6,0.02,,,4.66,"[596, 40, 652, 115]"
2026-04-22 11:16:35,72,[수도권제2순환선(봉담동탄)] 필봉산터널(동탄),27,0.0,,,0.67,"[0, 335, 307, 476]"
